pickup_date,bookings,fare_total,average_fare
2024-06-01,2971,38327.5,12.9
2024-06-02,2648,34834.5,13.16
2024-06-03,2546,31643.0,12.43
2024-06-04,2830,36069.96,12.75
2024-06-05,2894,39267.0,13.57
2024-06-06,2442,34239.0,14.02
2024-06-07,2099,28655.5,13.65
2024-06-08,3484,44207.5,12.69
2024-06-09,3773,47853.2,12.68
2024-06-10,3722,46101.5,12.39
2024-06-11,3710,47173.0,12.72
2024-06-12,3815,49640.5,13.01
2024-06-13,2666,34841.0,13.07
2024-06-14,1934,26473.5,13.69
2024-06-15,3383,43844.0,12.96
2024-06-16,3594,45495.0,12.66
2024-06-17,3737,47243.7,12.64
2024-06-18,3814,50284.5,13.18
2024-06-19,4062,54194.0,13.34
2024-06-20,2774,36984.34,13.33
2024-06-21,2391,33338.5,13.94
2024-06-22,4227,54247.0,12.83
2024-06-23,4457,56318.0,12.64
2024-06-24,4648,59143.5,12.72
2024-06-25,4744,61420.5,12.95
2024-06-26,4947,63763.0,12.89
2024-06-27,3289,43972.78,13.37
2024-06-28,2836,38444.52,13.56
2024-06-29,4598,59592.45,12.96
2024-06-30,4693,60679.0,12.93
