ten_minute_bucket,bookings
15:30,1396
15:40,1369
14:40,1355
16:10,1339
14:30,1338
17:10,1337
17:00,1326
15:10,1323
17:20,1321
18:10,1310
16:40,1309
14:50,1307
17:40,1301
15:20,1289
13:40,1288
15:50,1286
12:40,1273
17:30,1268
14:20,1263
16:30,1253
16:00,1250
17:50,1248
15:00,1245
13:30,1234
12:50,1232
12:30,1231
14:10,1230
16:50,1229
18:20,1224
13:20,1219
14:00,1201
13:50,1200
16:20,1196
11:40,1192
13:10,1190
18:00,1181
11:50,1177
12:20,1164
12:10,1164
18:30,1138
18:40,1135
12:00,1099
13:00,1095
11:30,1093
18:50,1082
11:20,1068
10:40,1067
11:00,1043
10:30,1039
19:00,1031
11:10,1029
09:40,1015
10:50,1005
09:30,997
09:50,995
10:20,986
19:20,964
10:10,960
19:10,928
09:20,921
10:00,913
08:40,896
19:30,886
19:40,880
08:30,871
09:10,863
09:00,850
08:10,837
08:20,832
08:50,831
07:40,827
19:50,790
07:50,715
07:30,715
08:00,700
20:00,667
20:10,644
07:20,642
20:30,624
07:10,624
07:00,612
20:40,606
06:40,606
20:20,591
21:00,579
06:30,577
20:50,562
21:10,542
21:20,531
06:50,528
21:30,486
06:20,475
22:00,468
22:30,460
21:40,460
21:50,439
22:40,435
22:20,417
22:10,414
22:50,390
23:00,382
23:10,375
23:30,352
06:10,343
23:20,337
00:00,309
06:00,305
23:50,300
23:40,299
00:10,269
05:50,245
05:30,235
00:20,221
05:40,216
00:30,209
00:40,195
01:00,181
01:40,153
00:50,143
01:20,138
01:10,133
01:30,128
05:20,125
02:10,108
02:00,105
01:50,96
05:10,91
04:50,85
02:20,74
03:00,72
02:30,72
05:00,70
03:30,67
02:50,62
04:40,61
03:50,58
02:40,56
04:00,52
03:20,52
03:10,49
04:30,48
04:10,47
03:40,39
04:20,38
