pickup_location,dropoff_location,trips,average_fare,average_distance,average_duration
NV,NV,487,12.84,3.33,15.73
East Harlem South,East Harlem North,412,7.31,1.49,7.15
Upper East Side South,Upper East Side North,395,6.95,1.35,10.06
Upper East Side North,Upper East Side South,352,7.26,1.34,11.37
Lenox Hill East,Upper East Side North,283,7.65,1.46,13.27
Upper East Side North,Midtown East,282,8.49,1.79,8.61
Upper East Side North,Lenox Hill East,277,8.75,1.53,10.41
Penn Station/Madison Sq West,Midtown Center,274,7.19,1.42,7.16
Lincoln Square East,Upper West Side North,260,7.53,1.58,7.24
Yorkville West,Lenox Hill East,244,7.5,1.4,13.56
