pu_location_id,location,vehicle,bookings
236,Upper East Side North,UberX,1680
186,Penn Station/Madison Sq West,UberX,1648
237,Upper East Side South,UberX,1503
140,Lenox Hill East,UberX,1501
238,Upper West Side North,UberX,1394
141,Lenox Hill West,UberX,1377
48,Clinton East,UberX,1342
142,Lincoln Square East,UberX,1336
263,Yorkville West,UberX,1264
137,Kips Bay,UberX,1229
170,Murray Hill,UberX,1209
239,Upper West Side South,UberX,1165
75,East Harlem South,UberX,1098
162,Midtown East,UberX,1063
107,Gramercy,UberX,982
229,Sutton Place/Turtle Bay North,UberX,888
138,LaGuardia Airport,UberX,872
161,Midtown Center,UberX,870
68,East Chelsea,UberX,808
234,Union Sq,UberX,768
151,Manhattan Valley,UberX,743
100,Garment District,UberX,725
79,East Village,UberX,716
262,Yorkville East,UberX,660
163,Midtown North,UberX,658
43,Central Park,UberX,652
132,JFK Airport,UberX,632
143,Lincoln Square West,UberX,615
233,UN/Turtle Bay South,UberX,612
90,Flatiron,UberX,595
74,East Harlem North,UberX,574
249,West Village,UberX,512
164,Midtown South,UberX,493
230,Times Sq/Theatre District,UberX,480
41,Central Harlem,UberX,431
113,Greenwich Village North,UberX,386
166,Morningside Heights,UberX,381
264,NV,UberX,346
50,Clinton West,UberX,338
42,Central Harlem North,UberX,301
231,TriBeCa/Civic Center,UberX,287
24,Bloomingdale,UberX,242
114,Greenwich Village South,UberX,204
246,West Chelsea/Hudson Yards,UberX,189
148,Lower East Side,UberX,183
87,Financial District North,UberX,169
116,Hamilton Heights,UberX,152
244,Washington Heights South,UberX,144
144,Little Italy/NoLiTa,UberX,127
224,Stuy Town/Peter Cooper Village,UberX,123
70,East Elmhurst,UberX,118
152,Manhattanville,UberX,111
13,Battery Park City,UberX,110
88,Financial District South,UberX,103
211,SoHo,UberX,103
125,Hudson Sq,UberX,93
261,World Trade Center,UberX,92
7,Astoria,UberX,86
146,Long Island City/Queens Plaza,UberX,69
226,Sunnyside,UberX,68
158,Meatpacking/West Village West,UberX,61
209,Seaport,UberX,57
97,Fort Greene,UberX,42
65,Downtown Brooklyn/MetroTech,UberX,40
232,Two Bridges/Seward Park,UberX,34
4,Alphabet City,UberX,31
25,Boerum Hill,UberX,31
45,Chinatown,UberX,27
181,Park Slope,UberX,27
145,Long Island City/Hunters Point,UberX,26
168,Mott Haven/Port Morris,UberX,26
95,Forest Hills,UberX,25
129,Jackson Heights,UberX,23
193,Queensbridge/Ravenswood,UberX,23
159,Melrose South,UberX,20
82,Elmhurst,UberX,19
223,Steinway,UberX,19
179,Old Astoria,UberX,17
260,Woodside,UberX,17
33,Brooklyn Heights,UberX,16
69,East Concourse/Concourse Village,UberX,15
247,West Concourse,UberX,15
49,Clinton Hill,UberX,14
61,Crown Heights North,UberX,14
265,NA,UberX,14
243,Washington Heights North,UberX,13
